Restaurant Name,Locality,City,Cuisines,Highlights
Tipo 00,CBD,Melbourne,Italian,"['Dinner', 'Lunch', 'Debit Card', 'No Seating Available', 'Credit Card', 'Cash', 'Beer', 'Table booking recommended', 'Gluten Free Options', 'Date Night', 'Indoor Seating', ""Seasonal Chef's Menu"", 'Vegan Options', 'Serves Cocktails', 'Feed Me Menu', 'Vegetarian Friendly', 'Wine', 'Table booking for Groups', 'EFTPos', 'Craft Beer']"
Vue de monde,CBD,Melbourne,"Australian, Contemporary","['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Credit Card', 'Serves Cocktails', 'Gluten Free Options', 'Degustation', 'Table booking recommended', 'Wifi', 'Date Night', 'Fullbar', ""Seasonal Chef's Menu"", 'Wheelchair Accessible', 'Vegetarian Friendly', 'Indoor Seating', 'Smoking Area', 'Vegan Options']"
Minamishima,Richmond,Melbourne,"Japanese, Sushi","['Cash', 'Debit Card', 'Credit Card', 'Dinner', 'Fullbar', 'Sake', 'Indoor Seating', ""Seasonal Chef's Menu"", 'Degustation', 'Omakase Available', 'Set Menu', 'Table reservation required', 'Wheelchair Accessible', 'Date Night']"
Dexter,Preston,Melbourne,"American, BBQ","['Credit Card', 'Takeaway Available', 'Dinner', 'Lunch', 'Debit Card', 'Cash', 'Date Night', 'Gluten Free Options', 'Fullbar', 'Indoor Seating', 'Feed Me Menu', 'Vegetarian Friendly', 'Outdoor Seating', 'Serves Cocktails', 'Wifi', 'Locally Sourced', 'Wine', 'Street Parking', 'EFTPos', 'Craft Beer', 'Beer', 'Table booking recommended', 'Dairy Free']"
Suzuran,Camberwell,Melbourne,"Japanese, Sushi","['Lunch', 'Takeaway Available', 'Dinner', 'Credit Card', 'Cash', 'Debit Card', 'Vegetarian Friendly', 'Catering Available', 'Cheap Eats', 'Sake', 'Indoor Seating', 'Onsite Retail']"
Scopri Italian Food & Wine,Carlton,Melbourne,Italian,"['Cash', 'Credit Card', 'Debit Card', 'Lunch', 'Dinner', 'Fullbar', 'Gluten Free Options', 'Vegetarian Friendly', 'Table booking recommended', 'Indoor Seating', 'Date Night']"
Pho Hung Vuong Springvale,Springvale,Melbourne,"Vietnamese, Pho","['Cash', 'Takeaway Available', 'Lunch', 'Dinner', 'Table Reservation Not Required', 'Kid Friendly', 'BYO', 'Indoor Seating', 'Cheap Eats']"
Rice Paper Scissors,CBD,Melbourne,"Asian Fusion, Tapas","['Dinner', 'Takeaway Available', 'Lunch', 'Credit Card', 'Cash', 'Debit Card', 'Delivery', 'Indoor Seating', 'Gluten Free Options', 'Outdoor Seating', 'Laneway', 'Vegan Options', 'Fullbar', 'Feed Me Menu', 'Vegetarian Friendly', 'Table booking recommended', 'Dairy Free', 'Date Night']"
Shira Nui,Glen Waverley,Melbourne,"Sushi, Japanese","['Cash', 'Debit Card', 'Credit Card', 'Dinner', 'Lunch', 'Lunch Menu', 'Serves Cocktails', 'Wheelchair Accessible', 'Fullbar', 'Street Parking', 'Date Night', 'Indoor Seating', 'Table booking recommended', 'Vegetarian Friendly', 'Omakase Available', 'Gluten Free Options']"
Aka Siro,Collingwood,Melbourne,Japanese,"['Credit Card', 'Cash', 'Dinner', 'Lunch', 'Debit Card', 'Wine', 'Open Kitchen', 'Table Reservation Not Required', 'Indoor Seating', 'Beer', 'Date Night']"
