Restaurant Name,Locality,City,Cuisines,Highlights
Restaurant Hubert,CBD,Sydney,"French, European","['Cash', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Set Menu', ""Seasonal Chef's Menu"", 'Nightlife', 'Indoor Seating', 'Underground', 'Private Dining', 'Fullbar', 'Table booking recommended']"
LuMi Bar & Dining,Pyrmont,Sydney,"Italian, Japanese","['Lunch', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Brunch', 'Waterfront', 'Outdoor Seating', 'Table reservation required', ""Seasonal Chef's Menu"", 'Wheelchair Accessible', 'Vegetarian Friendly', 'Fullbar', 'Indoor Seating', 'Set Menu', 'Wifi']"
Tetsuya's,CBD,Sydney,Japanese,"['Lunch', 'Credit Card', 'Dinner', 'Wine', 'Indoor Seating', 'Sake', ""Seasonal Chef's Menu"", 'Beer', 'Serves Cocktails', 'Table reservation required', 'Luxury Dining', 'Gluten Free Options']"
Quay,Circular Quay,Sydney,Modern Australian,"['Credit Card', 'Dinner', 'Debit Card', 'Lunch', 'Cash', 'Waterfront', 'Wifi', 'Luxury Dining', 'Indoor Seating', 'Wine']"
Manpuku - Chatswood,Chatswood,Sydney,"Japanese, Ramen","['Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'BYO', 'Beer', 'Street Parking', 'Kid Friendly', 'EFTPos', 'Vegetarian Friendly', 'Wine', 'Indoor Seating', 'Wheelchair Accessible', 'Gluten Free Options', 'Table booking not available']"
Sixpenny,Stanmore,Sydney,Modern Australian,"['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Debit Card', 'Fullbar', 'Serves Cocktails', 'Set Menu', 'Indoor Seating', 'Table booking recommended', ""Seasonal Chef's Menu"", 'Vegetarian Friendly']"
Tan Viet Noodle House,Cabramatta,Sydney,"Asian, Vietnamese","['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Breakfast', 'Indoor Seating', 'Street Parking', 'Kid Friendly', 'Wheelchair Accessible', 'Vegetarian Friendly']"
Sokyo,"The Star, Pyrmont",Sydney,Japanese,"['Dinner', 'Breakfast', 'Lunch', 'Cash', 'Credit Card', 'Debit Card', 'Fullbar', 'Omakase Available', 'Table reservation required', ""Seasonal Chef's Menu"", 'Wheelchair Accessible', 'Vegetarian Friendly', 'Indoor Seating', 'Sake', 'Kid Friendly', 'Wifi']"
Bistro Papillon,CBD,Sydney,French,"['Takeaway Available', 'Dinner', 'Credit Card', 'Lunch', 'Gluten Free Options', 'Set Menu', 'Vegetarian Friendly', 'Fullbar', 'Outdoor Seating', 'Table booking recommended']"
Ho Jiak Haymarket 好吃禧市,Haymarket,Sydney,"Malaysian, Asian, Chinese, Asian Fusion, Singaporean","['Lunch', 'Takeaway Available', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Corkage Fee Charged', 'Beer', 'Table booking recommended', 'Pre-Theatre Menu', 'Pram Friendly', 'Set Menu', 'EFTPos', 'Desserts and Bakes', 'Wine', 'Indoor Seating', 'Available for Functions', 'BYO Cake', 'Kid Friendly', 'Wheelchair Accessible', 'Vegetarian Friendly']"
